Sl. No.,Company Name,Finance_Year,Ownership Type,Incorporation Year,Sales-Total Revenue,DICOP -Direct Indirect Cost of Production,VAE-Value Added Expenditure,OP-Operating Profit,TC-Total Cost,GP-Gross Profit,Arms Length Price/Transfer Price Indicator,Other Operating Income/Sales,Advertising & Marketing Sales
7882,Patliputra Credit & Securities Ltd.,201303,Indian Private Sector,1994,,,,,,,,,0%
7883,Patna Buxar Highways Ltd.,201303,Indian Private Sector,2011,,,0.07,-0.07,0.07,,,,0%
7884,Patna Electric Supply Co. Ltd.,201303,Indian Private Sector,1923,,,0.21,-0.21,0.21,,,,0%
7885,Patna Highway Projects Ltd.,201303,Indian Private Sector,2009,,,0.07,-0.07,0.07,,,,0%
7886,Patna Water Supply Distribution Network Pvt. Ltd.,201303,Indian Private Sector,2012,13.76,0.43,13.28,0.05,13.71,13.33,0%,,0%
7887,Patnaik Steels & Alloys Ltd.,201303,Indian Private Sector,2003,130.62,109.72,28.26,-7.36,137.98,20.90,-6%,,2%
7888,Patnitop Ropeway & Resorts Ltd.,201303,Indian Private Sector,2007,,,0.00,0.00,0.00,,,,0%
7889,Patspin India Ltd.,201303,Indian Private Sector,1991,510.92,403.89,101.19,5.84,505.08,107.03,1%,,7%
7890,Paul Distributors Pvt. Ltd.,201303,Indian Private Sector,1995,50.60,48.66,1.17,0.77,49.83,1.94,2%,,2%
7891,Paul Merchants Ltd.,201303,Indian Private Sector,1984,132.94,0.10,106.96,25.88,107.06,132.84,19%,,16%
7892,Paushak Ltd.,201303,Indian Private Sector,1972,51.10,23.77,17.22,10.11,40.99,27.33,20%,,7%
7893,Pavan Poplar Ltd.,201303,Foreign Private Sector,1995,0.67,-0.44,1.05,0.06,0.61,1.11,9%,,3%
7894,Pavurotti Real Estate Pvt. Ltd.,201303,Indian Private Sector,1995,,,0.01,-0.01,0.01,,,,0%
7895,Pawan Hans Ltd.,201303,Central Government,1985,460.38,1.31,422.65,36.42,423.96,459.07,8%,,2%
7896,Pawan Power & Telecom Ltd.,201303,Indian Private Sector,1987,34.45,30.83,3.25,0.37,34.08,3.62,1%,,3%
7897,Pawanjay Sponge Iron Ltd.,201303,Indian Private Sector,2000,223.36,194.47,17.50,11.39,211.97,28.89,5%,,0%
7898,Pawansut Holdings Ltd.,201303,Indian Private Sector,1984,0.00,0.05,0.98,-1.03,1.03,-0.05,,,0%
7899,Peareylal & Sons (E P) Ltd.,201303,Indian Private Sector,1948,127.51,115.89,11.60,0.02,127.49,11.62,0%,,4%
7900,Pearl Agriculture Ltd.,201212,Indian Private Sector,2011,35.43,35.20,0.17,0.06,35.37,0.23,0%,,0%
7901,Pearl Agriculture Ltd.,201303,Indian Private Sector,2011,40.09,39.80,0.12,0.17,39.92,0.29,0%,,0%
7902,Pearl Apartments Ltd.,201303,Indian Private Sector,1979,0.79,,0.09,0.70,0.09,0.79,89%,,4%
7903,Pearl Beverages Ltd.,201303,Indian Private Sector,1996,158.25,85.29,70.27,2.69,155.56,72.96,2%,,3%
7904,Pearl Distillery Ltd.,201303,Indian Private Sector,1973,309.69,240.78,56.51,12.40,297.29,68.91,4%,,12%
7905,Pearl Electronics Ltd.,201212,Indian Private Sector,2011,58.20,57.85,0.41,-0.06,58.26,0.35,0%,,0%
7906,Pearl Electronics Ltd.,201303,Indian Private Sector,2011,68.92,68.43,0.43,0.06,68.86,0.49,0%,,0%
7907,Pearl Global Inds. Ltd.,201303,Indian Private Sector,1989,572.05,331.29,224.69,16.07,555.98,240.76,3%,,2%
7908,Pearl International Tours & Travels Ltd.,201303,Indian Private Sector,1990,20.42,0.01,19.55,0.86,19.56,20.41,4%,,16%
7909,Pearl Polymers Ltd.,201303,Indian Private Sector,1971,219.28,148.28,72.02,-1.02,220.30,71.00,0%,,7%
7910,Pebco Motors Ltd.,201303,Indian Private Sector,1975,84.40,78.48,7.25,-1.33,85.73,5.92,-2%,,3%
7911,Peddar Realty Pvt. Ltd.,201303,Indian Private Sector,2002,0.00,-0.36,1.40,-1.04,1.04,0.36,,,0%
7912,Pee Bee Steel Inds. Ltd.,201303,Indian Private Sector,1981,,,0.01,-0.01,0.01,,,,0%
7913,Pee Cee Cosma Sope Ltd.,201303,Indian Private Sector,1986,81.65,63.34,14.05,4.26,77.39,18.31,5%,,12%
7914,Pee Dee Yarn Processors Ltd.,201303,Indian Private Sector,1995,,,,,,,,,0%
7915,Pee Vee Textiles Ltd.,201303,Indian Private Sector,1986,527.65,344.49,122.62,60.54,467.11,183.16,11%,,4%
7916,Peerless Funds Mgmt. Co. Ltd.,201303,Indian Private Sector,2009,13.53,0.28,13.52,-0.27,13.80,13.25,-2%,,12%
7917,Peerless Hospitex Hospital & Research Center Ltd.,201303,Indian Private Sector,1989,98.01,0.31,98.23,-0.53,98.54,97.70,-1%,,7%
7918,Peerless Securities Ltd.,201303,Indian Private Sector,1995,3.92,0.00,7.77,-3.85,7.77,3.92,-98%,,2%
7919,Peermade Tea Co. Ltd.,201303,Indian Private Sector,1938,0.02,,0.03,-0.01,0.03,0.02,-50%,,0%
7920,Peeti Securities Ltd.,201303,Indian Private Sector,1994,3.29,2.89,0.64,-0.24,3.53,0.40,-7%,,2%
7921,Pegasus Ventures Pvt. Ltd.,201303,Indian Private Sector,2012,,,0.03,-0.03,0.03,,,,0%
7922,Peirce Leslie Agencies Ltd.,201303,Foreign Private Sector,1995,1.24,0.00,1.37,-0.13,1.37,1.24,-10%,,2%
7923,Peirce Leslie India Ltd.,201303,Foreign Private Sector,1968,1.20,0.02,1.48,-0.30,1.50,1.18,-25%,,0%
7924,Pelikan Estates Pvt. Ltd.,201303,Indian Private Sector,1988,,,,,,,,,0%
7925,Pen Investments Ltd.,201303,Indian Private Sector,1988,,0.01,0.01,-0.02,0.02,-0.01,,,0%
7926,Penam Laboratories Ltd.,201303,Indian Private Sector,1989,104.48,89.90,12.63,1.95,102.53,14.58,2%,,1%
7927,Penguin Electronics Ltd.,201303,Indian Private Sector,1983,87.60,70.19,12.82,4.59,83.01,17.41,5%,,1%
7928,Peninsula Crossroads Pvt. Ltd.,201303,Indian Private Sector,2000,1.44,0.06,1.32,0.06,1.38,1.38,4%,,0%
7929,Peninsula Facility Mgmt. Services Ltd.,201303,Indian Private Sector,1999,36.13,,34.64,1.49,34.64,36.13,4%,,0%
7930,Peninsula Holdings & Investments Pvt. Ltd.,201303,Indian Private Sector,2008,,,0.03,-0.03,0.03,,,,0%
7931,Peninsula Investment Mgmt. Co. Ltd.,201303,Indian Private Sector,2005,3.22,,0.80,2.42,0.80,3.22,75%,,0%
7932,Peninsula Land Ltd.,201303,Indian Private Sector,1871,666.12,-0.53,476.93,189.72,476.40,666.65,28%,,10%
7933,Peninsula Mega Properties Pvt. Ltd.,201303,Indian Private Sector,2006,,,,,,,,,0%
7934,Peninsula Mega Township Developers Ltd.,201303,Indian Private Sector,2007,31.79,36.90,1.99,-7.10,38.89,-5.11,-22%,,10%
7935,Peninsular Tankers Pvt. Ltd.,201303,Indian Private Sector,2007,2.24,2.04,0.00,0.20,2.04,0.20,9%,,0%
7936,Penisula Property Developers Pvt. Ltd.,201303,Indian Private Sector,1997,0.00,,0.01,-0.01,0.01,0.00,,,0%
7937,Pennar Engineered Building Systems Ltd.,201303,Indian Private Sector,2008,290.85,182.91,75.45,32.49,258.36,107.94,11%,,8%
7938,Pennar Enviro Ltd.,201303,Indian Private Sector,1992,5.68,1.86,3.74,0.08,5.60,3.82,1%,,17%
7939,Pennar Hotels & Resorts Pvt. Ltd.,201303,Indian Private Sector,1994,,,0.00,0.00,0.00,,,,0%
7940,Pennar Industries Ltd.,201303,Indian Private Sector,1975,893.97,703.24,124.77,65.96,828.01,190.73,7%,,5%
7941,Pentafour Solec Technology Ltd.,201303,Indian Private Sector,1993,,,2.92,-2.92,2.92,,,,0%
7942,Pentagram Properties Pvt. Ltd.,201303,Indian Private Sector,2005,4.34,,3.01,1.33,3.01,4.34,31%,,0%
7943,Pentamedia Graphics Ltd.,201303,Indian Private Sector,1976,5.31,0.11,4.95,0.25,5.06,5.20,5%,,1%
7944,Pentokey Organy (India) Ltd.,201303,Indian Private Sector,1986,114.97,94.91,13.42,6.64,108.33,20.06,6%,,2%
7945,Pentonville Software Ltd.,201303,Indian Private Sector,1991,,,0.01,-0.01,0.01,,,,0%
7946,Peoples Investments Ltd.,201303,Indian Private Sector,1976,,,0.01,-0.01,0.01,,,,0%
7947,Perambalur Sugar Mills Ltd.,201303,Government,1976,85.49,72.38,17.77,-4.66,90.15,13.11,-5%,,0%
7948,Perfect-Octave Media Projects Ltd.,201303,Indian Private Sector,1991,8.13,0.02,8.63,-0.52,8.65,8.11,-6%,,0%
7949,Perfectpac Ltd.,201303,Indian Private Sector,1972,97.51,73.70,21.74,2.07,95.44,23.81,2%,,3%
7950,Peria Karamalai Tea & Produce Co. Ltd.,201303,Indian Private Sector,1913,40.09,4.96,35.54,-0.41,40.50,35.13,-1%,,12%
7951,Perk Pharmaceuticals Ltd.,201303,Indian Private Sector,1981,1.04,0.50,0.45,0.09,0.95,0.54,9%,,49%
7952,Permanent Magnets Ltd.,201303,Indian Private Sector,1960,48.91,31.49,14.79,2.63,46.28,17.42,5%,,15%
7953,Perpetual Constructions Pvt. Ltd.,201303,Indian Private Sector,2008,,,,,,,,,0%
7954,Perpetual Securities Pvt. Ltd.,201303,Indian Private Sector,1999,,,0.00,0.00,0.00,,,,0%
7955,Persian Carpet & Textiles Ltd.,201303,Indian Private Sector,1993,0.18,0.22,0.05,-0.09,0.27,-0.04,-50%,,0%
7956,Persistent Systems Ltd.,201303,Indian Private Sector,1990,996.75,2.73,774.78,219.24,777.51,994.02,22%,,2%
7957,Perspective Realty Pvt. Ltd.,201303,Indian Private Sector,2007,15.75,,15.77,-0.02,15.77,15.75,0%,,0%
7958,Pesticides & Brewers Ltd.,201303,Indian Private Sector,1960,89.47,86.09,3.29,0.09,89.38,3.38,0%,,3%
7959,Pet Plastics Ltd.,201303,Indian Private Sector,1985,52.13,51.91,0.98,-0.76,52.89,0.22,-1%,,0%
7960,Petro Plast Industries Ltd.,201303,Indian Private Sector,1995,213.69,206.33,2.26,5.10,208.59,7.36,2%,,1%
7961,Petron Engineering Construction Ltd.,201303,Indian Private Sector,1976,500.48,186.59,293.29,20.60,479.88,313.89,4%,,0%
7962,Petronet C C K Ltd.,201303,Joint Sector,1998,90.41,0.58,40.48,49.35,41.06,89.83,55%,,0%
7963,Petronet India Ltd.,201303,Joint Sector,1997,0.02,,0.35,-0.33,0.35,0.02,-1650%,,0%
7964,Petronet L N G Ltd.,201303,Central Government,1998,31470.18,29242.04,480.99,1747.15,29723.03,2228.14,6%,,0%
7965,Petronet M H B Ltd.,201303,Joint Sector,1998,83.45,0.74,66.50,16.21,67.24,82.71,19%,,0%
7966,Petronet V K Ltd.,201303,Joint Sector,1998,0.91,,5.74,-4.83,5.74,0.91,-531%,,0%
7967,Pfizer Ltd.,201303,Foreign Private Sector,1950,1064.38,343.71,524.99,195.68,868.70,720.67,18%,,23%
7968,Phaarmasia Ltd.,201303,Indian Private Sector,1981,6.94,2.78,4.42,-0.26,7.20,4.16,-4%,,3%
7969,Pharmaids Pharmaceuticals Ltd.,201303,Indian Private Sector,1989,1.27,0.86,0.39,0.02,1.25,0.41,2%,,23%
7970,Pharmax Corporation Ltd.,201303,Indian Private Sector,1989,5.29,0.16,0.72,4.41,0.88,5.13,83%,,0%
7971,Pharmed Ltd.,201303,Indian Private Sector,1946,133.51,44.92,79.85,8.74,124.77,88.59,7%,,76%
7972,Phedra Projects Pvt. Ltd.,201303,Indian Private Sector,2006,,-0.56,0.56,0.00,0.00,0.56,,,0%
7973,Phelix Appliances Ltd.,201303,Indian Private Sector,1991,0.01,0.01,0.32,-0.32,0.33,0.00,-3200%,,0%
7974,Philips India Ltd.,201303,Foreign Private Sector,1930,5006.40,3118.50,1710.10,177.80,4828.60,1887.90,4%,,20%
7975,Phillips Carbon Black Ltd.,201303,Indian Private Sector,1960,2307.03,1949.59,333.27,24.17,2282.86,357.44,1%,,6%
7976,Phoenix Cement Ltd.,201303,Indian Private Sector,1995,,,0.00,0.00,0.00,,,,0%
7977,Phoenix Hospitality Co. Pvt. Ltd.,201303,Indian Private Sector,2006,,,0.03,-0.03,0.03,,,,0%
7978,Phoenix Industries Ltd.,201303,Indian Private Sector,1982,,0.00,0.20,-0.20,0.20,0.00,,,0%
7979,Phoenix International Ltd.,201303,Indian Private Sector,1987,24.13,17.01,9.63,-2.51,26.64,7.12,-10%,,4%
7980,Phoenix Lamps Ltd.,201303,Foreign Private Sector,1991,488.62,343.07,133.68,11.87,476.75,145.55,2%,,10%
7981,Phoenix Mills Ltd.,201303,Indian Private Sector,1905,271.06,3.93,115.03,152.10,118.96,267.13,56%,,8%
7982,Phoenix Surgicare Pvt. Ltd.,201303,Indian Private Sector,2004,,,,,,,,,0%
7983,Phoenix Township Ltd.,201303,Indian Private Sector,1993,9.69,,9.08,0.61,9.08,9.69,6%,,1%
7984,Phosphate Co. Ltd.,201303,Indian Private Sector,1949,61.88,49.05,10.86,1.97,59.91,12.83,3%,,17%
7985,Photon Capital Advisors Ltd.,201303,Indian Private Sector,1985,,0.01,0.90,-0.91,0.91,-0.01,,,0%
7986,Photon Energy Systems Ltd.,201303,Indian Private Sector,2001,108.62,89.54,12.86,6.22,102.40,19.08,6%,,6%
7987,Photoquip (India) Ltd.,201303,Indian Private Sector,1992,77.59,66.08,11.38,0.13,77.46,11.51,0%,,7%
7988,Phyto Chem (India) Ltd.,201303,Indian Private Sector,1989,31.31,24.83,4.45,2.03,29.28,6.48,6%,,11%
7989,Pic Realcon Ltd.,201303,Indian Private Sector,2013,,,,,,,,,0%
7990,Piccadily Agro Inds. Ltd.,201303,Indian Private Sector,1994,327.19,233.72,55.42,38.05,289.14,93.47,12%,,9%
7991,Piccadily Sugar & Allied Inds. Ltd.,201303,Indian Private Sector,1993,20.40,13.32,8.97,-1.89,22.29,7.08,-9%,,14%
7992,Picturehouse Media Ltd.,201303,Indian Private Sector,2000,43.51,-47.77,67.85,23.43,20.08,91.28,54%,,1%
7993,Pidilite Industries Ltd.,201303,Indian Private Sector,1969,3326.95,1829.77,932.46,564.72,2762.23,1497.18,17%,,22%
7994,Piem Hotels Ltd.,201303,Indian Private Sector,1968,295.47,2.99,240.83,51.65,243.82,292.48,17%,,16%
7995,Pilani Investment & Inds. Corpn. Ltd.,201303,Indian Private Sector,1901,0.38,0.22,2.26,-2.10,2.48,0.16,-553%,,0%
7996,Pilaniwala Textile Mills Ltd.,201303,Indian Private Sector,1994,,0.00,,0.00,0.00,0.00,,,0%
7997,Pill Finance & Investments Ltd.,201303,Indian Private Sector,1996,0.01,,0.02,-0.01,0.02,0.01,-100%,,0%
7998,Pilot Industries Ltd.,201303,Indian Private Sector,1993,473.07,417.67,25.15,30.25,442.82,55.40,6%,,4%
7999,Pimpri Chinchwad Eservices Ltd.,201206,Indian Private Sector,2010,,,0.04,-0.04,0.04,,,,0%
8000,Pincon Spirit Ltd.,201303,Indian Private Sector,1978,320.09,290.79,15.55,13.75,306.34,29.30,4%,,8%
8001,Pindari Properties Ltd.,201303,Indian Private Sector,2007,,,,,,,,,0%
8002,Pine Animation Ltd.,201303,Indian Private Sector,1989,0.00,0.12,0.03,-0.15,0.15,-0.12,,,0%
8003,Pinebridge Investments Asset Mgmt. Co. (India) Pvt. Ltd.,201303,Indian Private Sector,2006,10.60,0.23,25.86,-15.49,26.09,10.37,-146%,,12%
8004,Pinnacle Industries Ltd.,201303,Indian Private Sector,1996,147.17,105.90,32.57,8.70,138.47,41.27,6%,,3%
8005,Pinnacle Real Estate Devp. Pvt. Ltd.,201303,Indian Private Sector,2006,,,,,,,,,0%
8006,Pioneer Agro Extracts Ltd.,201303,Indian Private Sector,1993,59.84,54.99,5.48,-0.63,60.47,4.85,-1%,,1%
8007,Pioneer Commodity Intermediaries Pvt. Ltd.,201303,Indian Private Sector,2003,,,,,,,,,0%
8008,Pioneer Distilleries Ltd.,201303,Indian Private Sector,1995,103.63,94.82,25.84,-17.03,120.66,8.81,-16%,,1%
8009,Pioneer Embroideries Ltd.,201303,Indian Private Sector,1991,244.74,165.40,81.85,-2.51,247.25,79.34,-1%,,11%
8010,Pioneer Fundinvest Pvt. Ltd.,201303,Indian Private Sector,1981,,,,,,,,,0%
8011,Pioneer Investcorp Ltd.,201303,Indian Private Sector,1983,8.45,,22.10,-13.65,22.10,8.45,-162%,,12%
8012,Pioneer Investment Advisory Services Ltd.,201303,Indian Private Sector,2006,,,,,,,,,0%
8013,Pioneer Money Mgmt. Ltd.,201303,Indian Private Sector,2006,0.81,,0.40,0.41,0.40,0.81,51%,,11%
8014,Pioneer Polyfeb Ltd.,201303,Indian Private Sector,1983,0.00,0.02,0.22,-0.24,0.24,-0.02,,,0%
8015,Pioneer Power Ltd.,201303,Indian Private Sector,1998,137.71,0.84,105.57,31.30,106.41,136.87,23%,,0%
8016,Pioneer Promoters Pvt. Ltd.,201303,Indian Private Sector,1994,,,0.00,0.00,0.00,,,,0%
8017,Pioneer Realty Ltd.,201303,Indian Private Sector,2007,,,0.00,0.00,0.00,,,,0%
8018,Pioneer Urban Land & Infrastructure Ltd.,201303,Indian Private Sector,1985,451.98,,445.79,6.19,445.79,451.98,1%,,0%
8019,Pioneer Wealth Mgmt. Services Ltd.,201303,Indian Private Sector,2006,0.00,0.02,0.02,-0.04,0.04,-0.02,,,0%
8020,Pipal Research Analytics & Information Services India Pvt. Ltd.,201212,Foreign Private Sector,2004,32.60,,27.78,4.82,27.78,32.60,15%,,0%
8021,Pipavav Defence & Offshore Engg. Co. Ltd.,201303,Indian Private Sector,1997,2586.48,1388.66,785.13,412.69,2173.79,1197.82,16%,,2%
8022,Pipavav Electronic Warfare Systems Pvt. Ltd.,201303,Indian Private Sector,2010,,,,,,,,,0%
8023,Pipavav Marine & Offshore Ltd.,201303,Indian Private Sector,2012,,,0.00,0.00,0.00,,,,0%
8024,Pipavav Railway Corpn. Ltd.,201303,Joint Sector,2000,180.11,0.01,114.21,65.89,114.22,180.10,37%,,0%
8025,Pipri Ltd.,201303,Indian Private Sector,1976,,,0.01,-0.01,0.01,,,,0%
8026,Piramal Enterprises Ltd.,201303,Indian Private Sector,1947,1577.12,751.98,848.81,-23.67,1600.79,825.14,-2%,,23%
8027,Piramal Fund Mgmt. Pvt. Ltd.,201303,Indian Private Sector,2005,44.96,0.06,31.00,13.90,31.06,44.90,31%,,35%
8028,Piramal Glass Ltd.,201303,Indian Private Sector,1998,1020.65,250.42,707.95,62.28,958.37,770.23,6%,,20%
8029,Piramal Pharmaceutical Devp. Services Pvt. Ltd. [Merged],201303,Indian Private Sector,2008,18.82,0.82,14.85,3.15,15.67,18.00,17%,,1%
8030,Piramal Phytocare Ltd.,201303,Indian Private Sector,2001,5.51,2.93,9.34,-6.76,12.27,2.58,-123%,,20%
8031,Piramal Systems & Technologies Pvt. Ltd.,201303,Indian Private Sector,2011,0.00,0.14,2.60,-2.74,2.74,-0.14,,,0%
8032,Pitamber Coated Papers Ltd.,201303,Indian Private Sector,1994,6.28,5.39,1.97,-1.08,7.36,0.89,-17%,,3%
8033,Pithampur Poly Products Ltd.,201303,Indian Private Sector,1994,5.86,0.34,5.88,-0.36,6.22,5.52,-6%,,1%
8034,Pitti Laminations Ltd.,201303,Indian Private Sector,1983,310.35,213.72,65.42,31.21,279.14,96.63,10%,,10%
8035,Pivet Finances Ltd.,201303,Indian Private Sector,1988,,0.01,0.03,-0.04,0.04,-0.01,,,0%
8036,Pivotal Realtors Ltd.,201303,Indian Private Sector,2008,,,,,,,,,0%
8037,Pix Transmissions Ltd.,201303,Indian Private Sector,1981,234.10,127.06,79.00,28.04,206.06,107.04,12%,,17%
8038,Placid Plantations Ltd.,201303,Indian Private Sector,1988,,,,,,,,,0%
8039,Planet 41 Mobi-Venture Ltd.,201303,Indian Private Sector,2006,4.42,0.06,3.73,0.63,3.79,4.36,14%,,63%
8040,Planet E-Shop Holdings India Pvt. Ltd.,201303,Foreign Private Sector,2000,0.60,0.10,0.46,0.04,0.56,0.50,7%,,5%
8041,Planet Traders Ltd.,201303,Indian Private Sector,2007,,,0.02,-0.02,0.02,,,,0%
8042,Planetview Mercantile Co. Pvt. Ltd.,201303,Indian Private Sector,2006,,-0.04,0.05,-0.01,0.01,0.04,,,0%
8043,Planter'S Polysacks Ltd.,201303,Indian Private Sector,1985,0.00,0.05,0.01,-0.06,0.06,-0.05,,,0%
8044,Plastene Polyfilms Ltd.,201303,Indian Private Sector,2009,49.21,40.16,4.88,4.17,45.04,9.05,8%,,1%
8045,Plastiblends India Ltd.,201303,Indian Private Sector,1991,410.05,306.88,74.81,28.36,381.69,103.17,7%,,24%
8046,Plateau Realtors Ltd.,201303,Indian Private Sector,2008,,,,,,,,,0%
8047,Plenty Valley Intra Ltd. [Merged],201303,Indian Private Sector,1989,,,0.27,-0.27,0.27,,,,0%
8048,Plethico Pharmaceuticals Ltd.,201212,Indian Private Sector,1991,506.14,403.74,94.01,8.39,497.75,102.40,2%,,14%
8049,Plutocrat Assets & Capital Mgmt. Pvt. Ltd.,201303,Indian Private Sector,1991,,,,,,,,,0%
8050,Pochiraju Industries Ltd.,201303,Indian Private Sector,1995,108.85,67.51,29.51,11.83,97.02,41.34,11%,,10%
8051,Podar Mills Ltd.,201303,Central Government,1926,0.02,0.00,0.65,-0.63,0.65,0.02,-3150%,,0%
8052,Poddar Developers Ltd.,201303,Indian Private Sector,1982,26.20,-16.14,36.01,6.33,19.87,42.34,24%,,25%
8053,Poddar Habitat Pvt. Ltd.,201303,Indian Private Sector,2008,,-4.38,4.20,0.18,-0.18,4.38,,,0%
8054,Poddar Infrastructure Pvt. Ltd.,201303,Indian Private Sector,2007,,,,,,,,,0%
8055,Poddar Leisure Infrastructure Pvt. Ltd.,201303,Indian Private Sector,2008,,,,,,,,,0%
8056,Poddar Natural Resources & Ores Ltd.,201303,Indian Private Sector,2006,,,,,,,,,0%
8057,Poddar Pigments Ltd.,201303,Indian Private Sector,1991,276.68,224.31,33.21,19.16,257.52,52.37,7%,,5%
8058,Poddar Tyres Ltd.,201303,Indian Private Sector,1981,359.21,188.59,128.66,41.96,317.25,170.62,12%,,8%
8059,Pofran Sales & Agency Ltd.,201212,Foreign Private Sector,2005,1.62,,0.08,1.54,0.08,1.62,95%,,4%
8060,Pokarna Engineered Stone Ltd.,201303,Indian Private Sector,2001,49.97,21.79,25.38,2.80,47.17,28.18,6%,,15%
8061,Pokarna Ltd.,201303,Indian Private Sector,1991,158.40,55.01,88.69,14.70,143.70,103.39,9%,,23%
8062,Polar Breweries Ltd.,201303,Indian Private Sector,1999,,,,,,,,,0%
8063,Polar Marmo Agglomerates Ltd.,201303,Indian Private Sector,1987,,,0.02,-0.02,0.02,,,,0%
8064,Polaris Consulting & Services Ltd.,201303,Indian Private Sector,1993,1860.77,2.45,1688.88,169.44,1691.33,1858.32,9%,,1%
8065,Polaris Enterprise Solutions Ltd.,201303,Indian Private Sector,1998,9.46,,10.83,-1.37,10.83,9.46,-14%,,1%
8066,Polisetty Somasundaram Ltd.,201303,Indian Private Sector,1968,0.15,0.03,0.09,0.03,0.12,0.12,20%,,0%
8067,Polo Hotels Ltd.,201303,Indian Private Sector,1984,0.82,,0.25,0.57,0.25,0.82,70%,,22%
8068,Polson Ltd.,201303,Indian Private Sector,1938,82.86,57.72,14.86,10.28,72.58,25.14,12%,,6%
8069,Poly Medicure Ltd.,201303,Indian Private Sector,1995,252.29,86.87,125.21,40.21,212.08,165.42,16%,,9%
8070,Polycab Wires Pvt. Ltd.,201303,Indian Private Sector,1996,3704.34,3004.32,469.06,230.96,3473.38,700.02,6%,,6%
8071,Polychem Ltd.,201303,Indian Private Sector,1955,9.48,6.68,4.14,-1.34,10.82,2.80,-14%,,11%
8072,Polycon International Ltd.,201303,Indian Private Sector,1991,39.47,27.07,10.43,1.97,37.50,12.40,5%,,8%
8073,Polygenta Technologies Ltd.,201303,Indian Private Sector,1981,71.61,72.68,45.68,-46.75,118.36,-1.07,-65%,,5%
8074,Polylink Polymers (India) Ltd.,201303,Indian Private Sector,1993,32.63,22.91,8.14,1.58,31.05,9.72,5%,,18%
8075,Polymechplast Machines Ltd.,201303,Indian Private Sector,1987,20.70,15.49,4.95,0.26,20.44,5.21,1%,,8%
8076,Polymermann (Asia) Pvt. Ltd.,201303,Indian Private Sector,1986,0.96,0.01,0.08,0.87,0.09,0.95,91%,,0%
8077,Polynova Industries Ltd.,201303,Indian Private Sector,1986,165.65,125.17,26.94,13.54,152.11,40.48,8%,,7%
8078,Polyplex Corporation Ltd.,201303,Indian Private Sector,1984,969.26,740.58,254.25,-25.57,994.83,228.68,-3%,,9%
8079,Polyspin Exports Ltd.,201303,Indian Private Sector,1985,82.50,58.95,18.43,5.12,77.38,23.55,6%,,8%
8080,Polytex India Ltd.,201303,Indian Private Sector,1987,-0.01,0.00,0.30,-0.31,0.30,-0.01,3100%,,29%
8081,Pondicherry - Tindivanam Tollway Ltd.,201303,Indian Private Sector,2007,12.53,0.00,11.62,0.91,11.62,12.53,7%,,0%
8082,Pondicherry Spinners Ltd.,201303,Indian Private Sector,1992,0.08,0.00,0.21,-0.13,0.21,0.08,-163%,,38%
8083,Pond'S Exports Ltd.,201303,Foreign Private Sector,1979,94.11,58.55,31.34,4.22,89.89,35.56,4%,,12%
8084,Pondy Oxides & Chemicals Ltd.,201303,Indian Private Sector,1995,344.45,300.26,34.25,9.94,334.51,44.19,3%,,3%
8085,Ponni Sugars (Erode) Ltd.,201303,Indian Private Sector,1996,211.67,143.68,53.90,14.09,197.58,67.99,7%,,1%
8086,Pooja Entertainment & Films Ltd.,201303,Indian Private Sector,1993,71.37,-7.66,77.49,1.54,69.83,79.03,2%,,0%
8087,Pooja Forge Ltd.,201303,Indian Private Sector,1986,195.94,120.99,60.23,14.72,181.22,74.95,8%,,12%
8088,Poona Dal & Oil Inds. Ltd.,201303,Indian Private Sector,1993,364.20,343.96,17.22,3.02,361.18,20.24,1%,,0%
8089,Poona Roller Flour Mills Ltd.,201303,Indian Private Sector,1987,285.56,279.61,5.52,0.43,285.13,5.95,0%,,0%
8090,Poonam Realtors Ltd.,201303,Indian Private Sector,1974,,,0.19,-0.19,0.19,,,,0%
8091,Popular Estate Mgmt. Ltd.,201303,Indian Private Sector,1994,0.00,,9.33,-9.33,9.33,0.00,,,0%
8092,Port Shipping Co. Ltd.,201303,Indian Private Sector,1906,0.00,,0.07,-0.07,0.07,0.00,,,0%
8093,Porwal Auto Components Ltd.,201303,Indian Private Sector,1992,76.93,49.44,25.82,1.67,75.26,27.49,2%,,1%
8094,Poseidon Investments Co. Ltd.,201303,Indian Private Sector,1983,,,0.01,-0.01,0.01,,,,0%
8095,Positive Biosciences Ltd.,201303,Indian Private Sector,1995,0.00,0.00,0.19,-0.19,0.19,0.00,,,0%
8096,Positive Electronics Ltd.,201303,Indian Private Sector,1981,0.27,0.25,0.00,0.02,0.25,0.02,7%,,0%
8097,Positive Packaging Inds. Ltd.,201303,Foreign Private Sector,1994,855.23,595.95,204.88,54.40,800.83,259.28,6%,,9%
8098,Potent Housing & Constructions Pvt. Ltd.,201303,Indian Private Sector,1998,,,,,,,,,0%
8099,Potential Invst. & Finance Ltd.,201303,Indian Private Sector,1983,0.00,5.62,0.91,-6.53,6.53,-5.62,,,0%
8100,Potis Power Projects Ltd.,201303,Indian Private Sector,1992,0.34,,0.64,-0.30,0.64,0.34,-88%,,0%
8101,Powai Real Estate Developers Ltd.,201303,Indian Private Sector,2009,,,,,,,,,0%
8102,Power Equity Capital Advisors Pvt. Ltd.,201303,Central Government,2008,,,,,,,,,0%
